fecha,temperatura_promedio_C,precipitacion_mm,humedad_relativa_%,ph_suelo,materia_organica_%,rendimiento_toneladas_ha,latitud,longitud
2024-01-01,25.09061632843021,1.1419434417465002,82.7576868037256,5.666371182892201,3.2493191104870185,6.324014419714395,-1.818763796434579,-79.50194047180881
2024-01-02,24.642142483473,14.7384151420089,80.20356653158221,5.970554735024444,2.69389312691779,6.246093003502738,-1.8014785708077026,-79.5047324679022
2024-01-03,24.48516013414603,13.48313742123914,78.99567400368038,5.7192703073516,2.117950968260258,6.627079719678038,-1.808040181745658,-79.54021044326053
2024-01-04,26.65001993539452,2.9956687620619693,80.07265837001827,6.082444111083086,2.468143443501714,6.13571153887492,-1.812040245474089,-79.54653193495623
2024-01-05,24.15008517748249,10.474868819371576,79.43856720498636,5.997145999135973,2.9749544206259007,7.276869092605584,-1.825319440786727,-79.54496109993113
2024-01-06,25.46370653857086,9.962314916244166,80.583152904732,5.729366741437862,2.6353935373846764,5.911379576958291,-1.825320164389914,-79.54908890871742
2024-01-07,25.13476878101569,14.921321011373132,76.98037230416108,6.027975712225809,3.0268460269359463,6.464579441902677,-1.828257491634954,-79.5452778519622
2024-01-08,23.30251608079313,5.294223397861172,83.89098363968333,5.795426387540223,2.100279107082036,5.848567523631535,-1.804014715626752,-79.51584966132918
2024-01-09,25.67249602120364,11.06700117434023,79.28320370249092,5.726635117637063,2.343296740382472,6.223276944650449,-1.8119665496477038,-79.54644056757698
2024-01-10,26.292300551575558,6.721730987276635,83.65147556247649,6.10426321038449,2.899324359259184,5.870513906184586,-1.8087578226661187,-79.53405121848532
2024-01-11,25.32298407226929,8.212355301378754,77.28889441780962,5.864871856344321,2.028384083536079,6.356303816538469,-1.829382465171126,-79.50775623445152
2024-01-12,24.628306162161287,9.33913161269753,80.84986361463842,5.748219005259184,2.7346775205901097,5.857528903013242,-1.8009027044351402,-79.5488364032132
2024-01-13,25.697037837965794,1.603434932099591,80.37913873863924,6.187785799811657,2.09986747015777,5.796676508842545,-1.8050267207759874,-79.50927657587056
2024-01-14,25.41112627972713,9.231242243031325,81.05189029782068,5.8978374260295325,2.753888587424708,6.332909952586867,-1.8236298266796518,-79.53590726126133
2024-01-15,25.32785492554281,7.127045060240622,82.0177211036082,6.1799763869790425,2.4469465014469707,5.707641208598807,-1.824545250983787,-79.54409175861892
2024-01-16,25.885664535429576,7.731427513565343,73.4819913619579,5.969484335430084,2.285868725618431,5.972840015308752,-1.824497864704397,-79.51516314173179
2024-01-17,25.26558426445521,9.285831732228663,82.12835545141712,5.712902725886031,2.705242319270433,5.922135996724825,-1.820872732711214,-79.518552857661
2024-01-18,25.591048384710003,11.4101707533986,77.19368389386621,6.017196423235006,2.2856146219543807,6.742417339484343,-1.8142573070510328,-79.50612639932365
2024-01-19,25.29382985072107,17.524251717308946,79.32960205288444,5.730136640776361,2.492232157644907,6.409046065149718,-1.8170416494407367,-79.5132464478098
2024-01-20,25.63995352155364,0.2517802911503946,76.83895274256093,5.586439415684161,2.8801230367894304,6.513184011774578,-1.8212631257940588,-79.50982595348076
2024-01-21,24.916440625170026,7.489224717383281,80.21015648933954,6.032375660521638,2.1290587463237705,6.071510694820436,-1.8116444131583287,-79.53589827137144
2024-01-22,25.780158103825944,10.83880418303256,80.56874484979623,6.000209218513428,1.418707082800305,6.703362595859272,-1.8258151841804389,-79.54112802281101
2024-01-23,24.476739453498062,0.0,81.53360779857495,6.074731709032592,2.445020594148924,6.285862364160882,-1.8212356605439435,-79.51246926241795
2024-01-24,26.28982260639092,14.907905601253573,84.91989358811418,5.9484254982143785,2.530173455560637,6.01941025643085,-1.8190091447011894,-79.50965826303664
2024-01-25,24.80315000949604,4.117100356752375,86.51282815249344,5.764822837513533,2.5492819227137944,6.165445612812141,-1.816317900473489,-79.50047474289997
2024-01-26,25.03488195709796,16.808588535487097,78.13205191479665,5.838921491047448,2.2030117657207806,6.103993246633788,-1.8064447211582095,-79.52936911615443
2024-01-27,24.51058472727577,8.148149348091273,78.71209332644823,5.661515804025228,1.9374730145312664,5.975068328211392,-1.8240097865352494,-79.53139909571036
2024-01-28,23.7962237007752,12.133613151781349,80.24731925880351,5.508489700107014,2.3763163691800546,6.274353078322825,-1.8145729668475916,-79.5111793519629
2024-01-29,25.255339608335344,15.035585563449056,74.37448259106277,5.823005215829483,2.435946881773344,6.70140202293514,-1.812227562934139,-79.53295982298735
2024-01-30,25.17055730259015,4.573486674639239,79.04283819300015,5.640794828639302,2.9304028554394392,6.006393494601583,-1.8286064876184,-79.50346213371982
2024-01-31,26.52095254860241,8.03002926426023,77.87477969926861,5.497257121477435,1.778744129497622,5.524759217098353,-1.8117736544429568,-79.50707936240785
2024-02-01,25.713701320809182,11.876958449483002,75.2564278939036,5.979007662815223,2.306775579326624,6.544037903595664,-1.8248842762893813,-79.52855029863125
2024-02-02,26.78977650260434,13.817529912660994,79.1944080562825,5.621761554916942,1.639273839468278,6.284254004227274,-1.8280484522104417,-79.51245644661043
2024-02-03,25.33109580893785,4.397435697577414,79.60622909872309,5.815370376591753,2.4100576072767685,5.804999225752962,-1.8015334338824,-79.51227285629577
2024-02-04,25.63492373757338,11.54303658118038,76.72880276767147,6.082186475949253,2.4605647470862952,6.505654886883455,-1.8010310390077633,-79.5448438065582
2024-02-05,26.066571538605245,10.499413989650842,82.85940990173974,5.857424833040365,2.255025050143825,6.608451057561831,-1.8057480795565062,-79.50487235466602
2024-02-06,24.58501903414347,9.87613186221595,79.90031002806661,5.758376628545492,2.448584995424428,5.435445286350708,-1.820861586924799,-79.5247373813776
2024-02-07,25.06102007380723,9.797557839038909,80.4795691759922,5.5944649718148085,3.00628313634588,5.74014754553565,-1.8270698365798086,-79.50867712669461
2024-02-08,26.27556576042139,11.46930514269176,78.06131807046859,6.155062178521902,2.022545267297408,6.7757462520830005,-1.8094730092046354,-79.53399751994847
2024-02-09,26.300465854434385,5.980232287950109,84.17739590019299,5.749990697080209,2.615477451711943,6.078096551631366,-1.816795425187812,-79.50522383857519
2024-02-10,25.39255300682356,13.387374699132245,82.38046616165664,5.450293605352364,3.021736097151261,6.001252403589298,-1.8263388529546567,-79.53053991606329
2024-02-11,26.326036963473324,14.96685901747125,76.7271007093544,5.717837142409083,2.057718132605625,6.43552369091338,-1.815144692696662,-79.54945811742598
2024-02-12,25.253572572651407,13.231635994680031,83.93092623835882,6.079136762157991,2.275132789368679,6.437233437876642,-1.8289683443665434,-79.50473090117903
2024-02-13,24.15324944622324,5.30398300085239,82.89455489929237,6.123116564709646,2.006260451248031,5.822260722254132,-1.8027203879376366,-79.54543566616069
2024-02-14,25.47887539443286,10.734139127431368,77.57118944023506,5.884812208892818,2.3104642611716337,6.495664318736516,-1.8222366005519997,-79.53403431812048
2024-02-15,25.93702739840296,9.365444682388024,78.69084232842029,5.778078039214834,2.464654816317866,5.888996691035362,-1.8101243314693807,-79.50249690164746
2024-02-16,25.29296314986632,17.32656918585692,81.68275834382372,5.740903936394168,2.7787817618042943,6.399854153073197,-1.8206486677173177,-79.50246964265312
2024-02-17,26.438499710069312,11.181544294323803,79.67809356798732,5.889543385162056,1.8716495391726,6.161969759327058,-1.8143979593646657,-79.52132810559384
2024-02-18,24.54485999488076,10.048048807151869,85.19754499845527,6.246260029238527,2.755220440576303,6.650253342483337,-1.8135986916197018,-79.51840813939151
2024-02-19,24.05915381267781,6.619964334663225,77.63664874427528,5.675830480349776,2.432742472566084,5.858372826690862,-1.8244543663342343,-79.52757772390109
2024-02-20,23.916560151699368,13.072884613921005,76.78177092278058,5.84784937282223,3.329633067899989,6.224184622524073,-1.8009124611670633,-79.53533946141509
2024-02-21,23.475769981802937,7.9033122239327795,83.30287890499571,6.191669490844118,2.008180162219033,6.1490097669709565,-1.8067460152991666,-79.5335667727315
2024-02-22,25.12775163457596,8.803591561812656,87.9330300410511,5.499405934320969,2.601495864597829,6.14030795152963,-1.8018150317530743,-79.51637407719615
2024-02-23,26.36862905995148,9.82324910068781,80.92415161851231,5.721670286515642,2.6076507764980428,5.897042317350777,-1.8031551794871705,-79.51238127352812
2024-02-24,25.99725751188484,7.485281653115164,81.13130118170656,5.794147437263004,2.9504201003088677,5.984581882923454,-1.8120630006356675,-79.51042104781371
2024-02-25,24.08157402543449,15.642940836903293,77.28280309741214,5.669246732270236,2.261735482382603,6.912331427951245,-1.8023437729493066,-79.51051909286028
